region,scenario,sector,indicator,year,value,unit,version,comments,source
KAZ,Historical,LULUCF,Emissions (absolute),1991,-6.24,MtCO2e (GWP-AR4),2023-09-01,Historical emissions/removals from forestry,Latest country assessment
JPN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,1283.8,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
JPN,Historical,LULUCF,Emissions (absolute),1991,-72.08,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
IRN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,366,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,344.03,MtCO2e (GWP-AR4),2023-10-01,"Historical emissions, excl forestry",Latest country assessment
IDN,Historical,LULUCF,Emissions (absolute),1991,289.44,MtCO2e (GWP-AR4),2023-10-01,Historical emissions/removals from forestry,Latest country assessment
IND,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,1190.33,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,1197.78,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
DEU,Historical,LULUCF,Emissions (absolute),1991,-25.52,MtCO2e (GWP-AR4),2023-08-01,Historical emissions/removals from forestry,Latest country assessment
GMB,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,1.49,MtCO2e (GWP-AR4),2023-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,4726,MtCO2e (GWP-AR4),2024-02-01,"Historical emissions, excl forestry",Latest country assessment
EU27,Historical,LULUCF,Emissions (absolute),1991,-311,MtCO2e (GWP-AR4),2024-02-01,Historical emissions/removals from forestry,Latest country assessment
ETH,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,67.19,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
EGY,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,135,MtCO2e (GWP-AR4),2023-08-01,"Historical emissions, excl forestry",Latest country assessment
CRI,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,9.1,MtCO2e (GWP-AR4),2023-03-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,99.81,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
COL,Historical,LULUCF,Emissions (absolute),1991,119.41,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
CHN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,3780.5,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
CHN,Historical,LULUCF,Emissions (absolute),1991,-407,MtCO2e (GWP-AR4),2023-11-01,Historical emissions/removals from forestry,Latest country assessment
CHL,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,47.86,MtCO2e (GWP-AR4),2022-11-01,"Historical emissions, excl forestry",Latest country assessment
CHL,Historical,LULUCF,Emissions (absolute),1991,-55.7,MtCO2e (GWP-AR4),2022-11-01,Historical emissions/removals from forestry,Latest country assessment
CAN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,587.91,MtCO2e (GWP-AR4),2022-10-01,"Historical emissions, excl forestry",Latest country assessment
CAN,Historical,LULUCF,Emissions (absolute),1991,-73.61,MtCO2e (GWP-AR4),2022-10-01,Historical emissions/removals from forestry,Latest country assessment
BRA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,674.96,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
BRA,Historical,LULUCF,Emissions (absolute),1991,730.75,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
BTN,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,0.87,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,425.55,MtCO2e (GWP-AR4),2023-12-01,"Historical emissions, excl forestry",Latest country assessment
AUS,Historical,LULUCF,Emissions (absolute),1991,181.86,MtCO2e (GWP-AR4),2023-12-01,Historical emissions/removals from forestry,Latest country assessment
ARG,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,235.2,MtCO2e (GWP-AR4),2023-07-01,"Historical emissions, excl forestry",Latest country assessment
ARG,Historical,LULUCF,Emissions (absolute),1991,66.76,MtCO2e (GWP-AR4),2023-07-01,Historical emissions/removals from forestry,Latest country assessment
ZAF,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1991,362.81,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
ZAF,Historical,LULUCF,Emissions (absolute),1991,-17.39,MtCO2e (GWP-AR4),2023-08-01,Historical dataset,Latest country assessment
VNM,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,104.04,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
USA,Historical,"Economy-wide, excluding LULUCF",Emissions (absolute),1992,6499.53,MtCO2e (GWP-AR4),2023-11-01,"Historical emissions, excl forestry",Latest country assessment
